AC,ID,DE,TP
RF00001,5S_rRNA,5S ribosomal RNA,Gene; rRNA;
RF00002,5_8S_rRNA,5.8S ribosomal RNA,Gene; rRNA;
RF00003,U1,U1 spliceosomal RNA,Gene; snRNA; splicing;
RF00004,U2,U2 spliceosomal RNA,Gene; snRNA; splicing;
RF00005,tRNA,tRNA,Gene; tRNA;
RF00006,Vault,Vault RNA,Gene;
RF00007,U12,U12 minor spliceosomal RNA,Gene; snRNA; splicing;
RF00008,Hammerhead_3,Hammerhead ribozyme (type III),Gene; ribozyme;
RF00009,RNaseP_nuc,Nuclear RNase P,Gene; ribozyme;
RF00010,RNaseP_bact_a,Bacterial RNase P class A,Gene; ribozyme;
RF00011,RNaseP_bact_b,Bacterial RNase P class B,Gene; ribozyme;
RF00012,U3,Small nucleolar RNA U3,Gene; snRNA; snoRNA; CD-box;
RF00013,6S,6S / SsrS RNA,Gene;
RF00014,DsrA,DsrA RNA,Gene; sRNA;
RF00015,U4,U4 spliceosomal RNA,Gene; snRNA; splicing;
RF00016,SNORD14,Small nucleolar RNA SNORD14,Gene; snRNA; snoRNA; CD-box;
RF00017,Metazoa_SRP,Metazoan signal recognition particle RNA,Gene;
RF00018,CsrB,CsrB/RsmB RNA family,Gene; sRNA;
RF00019,Y_RNA,Y RNA,Gene;
RF00020,U5,U5 spliceosomal RNA,Gene; snRNA; splicing;
RF00021,Spot_42,Spot 42 RNA,Gene; sRNA;
RF00022,GcvB,GcvB RNA,Gene;
RF00023,tmRNA,transfer-messenger RNA,Gene;
RF00024,Telomerase-vert,Vertebrate telomerase RNA,Gene;
RF00025,Telomerase-cil,Ciliate telomerase RNA,Gene;
RF00026,U6,U6 spliceosomal RNA,Gene; snRNA; splicing;
RF00027,let-7,let-7 microRNA precursor,Gene; miRNA;
RF00028,Intron_gpI,Group I catalytic intron,Intron;
RF00029,Intron_gpII,Group II catalytic intron,Intron;
RF00030,RNase_MRP,RNase MRP,Gene; ribozyme;
RF00031,SECIS_1,Selenocysteine insertion sequence 1,Cis-reg;
RF00032,Histone3,Histone 3' UTR stem-loop,Cis-reg;
RF00033,MicF,MicF RNA,Gene; antisense;
RF00034,RprA,RprA RNA,Gene; sRNA;
RF00035,OxyS,OxyS RNA,Gene; sRNA;
RF00036,RRE,HIV Rev response element,Cis-reg;
RF00037,IRE_I,Iron response element I,Cis-reg;
RF00038,PrfA,PrfA thermoregulator UTR,Cis-reg; thermoregulator;
RF00039,DicF,DicF RNA,Gene; antisense;
RF00040,rne5,RNase E 5' UTR element,Cis-reg;
RF00041,Entero_OriR,Enteroviral 3' UTR element,Cis-reg;
RF00042,CopA,CopA-like RNA,Gene; antisense;
RF00043,Plasmid_R1162,R1162-like plasmid antisense RNA,Gene; antisense;
RF00044,Phage_pRNA,Bacteriophage pRNA,Gene;
RF00045,SNORA73,Small nucleolar RNA SNORA73 family,Gene; snRNA; snoRNA; HACA-box;
RF00046,snoR30,Small nucleolar RNA R30/Z108,Gene; snRNA; snoRNA; CD-box;
RF00047,mir-2,mir-2 microRNA precursor,Gene; miRNA;
RF00048,Entero_CRE,Enterovirus cis-acting replication element,Cis-reg;
RF00049,SNORD36,Small nucleolar RNA SNORD36,Gene; snRNA; snoRNA; CD-box;
RF00050,FMN,FMN riboswitch (RFN element),Cis-reg; riboswitch;
RF00051,mir-17,mir-17 microRNA precursor family,Gene; miRNA;
RF00052,lin-4,lin-4 microRNA precursor,Gene; miRNA;
RF00053,mir-7,mir-7 microRNA precursor,Gene; miRNA;
RF00054,SNORD25,Small nucleolar RNA SNORD25,Gene; snRNA; snoRNA; CD-box;
RF00055,SNORD96,Small nucleolar RNA SNORD96 family,Gene; snRNA; snoRNA; CD-box;
RF00056,SNORA71,Small nucleolar RNA SNORA71,Gene; snRNA; snoRNA; HACA-box;
RF00057,RyhB,RyhB RNA,Gene; sRNA;
RF00058,HgcF,HgcF RNA (Pab35),Gene; snRNA; snoRNA; HACA-box;
RF00059,TPP,TPP riboswitch (THI element),Cis-reg; riboswitch;
RF00060,HgcE,HgcE RNA (Pab105),Gene; snRNA; snoRNA; HACA-box;
RF00061,IRES_HCV,Hepatitis C virus internal ribosome entry site,Cis-reg; IRES;
RF00062,HgcC,HgcC family RNA,Gene;
RF00063,SscA,SscA RNA,Gene;
RF00064,HgcG,HgcG RNA (Pab40),Gene; snRNA; snoRNA; HACA-box;
RF00065,snoR9,Small nucleolar RNA snoR9,Gene; snRNA; snoRNA; CD-box;
RF00066,U7,U7 small nuclear RNA,Gene; snRNA;
RF00067,SNORD15,Small nucleolar RNA SNORD15,Gene; snRNA; snoRNA; CD-box;
RF00068,SNORD21,Small nucleolar RNA SNORD21,Gene; snRNA; snoRNA; CD-box;
RF00069,SNORD24,Small nucleolar RNA SNORD24,Gene; snRNA; snoRNA; CD-box;
RF00070,SNORD29,Small nucleolar RNA SNORD29,Gene; snRNA; snoRNA; CD-box;
RF00071,SNORD73,Small nucleolar RNA SNORD73,Gene; snRNA; snoRNA; CD-box;
RF00072,SNORA75,Small nucleolar RNA SNORA75,Gene; snRNA; snoRNA; HACA-box;
RF00073,mir-156,mir-156 microRNA precursor,Gene; miRNA;
RF00074,mir-29,mir-29 microRNA precursor,Gene; miRNA;
RF00075,mir-166,mir-166 microRNA precursor,Gene; miRNA;
RF00076,mir-181,mir-181 microRNA precursor,Gene; miRNA;
RF00077,SraB,SraB RNA,Gene; sRNA;
RF00078,MicA,MicA sRNA,Gene; sRNA;
RF00079,OmrA-B,OmrA-B family,Gene; sRNA;
RF00080,yybP-ykoY,yybP-ykoY manganese riboswitch,Cis-reg; riboswitch;
RF00081,ArcZ,ArcZ RNA,Gene; sRNA;
RF00082,SraG,SraG RNA,Gene; sRNA;
RF00083,GlmZ_SraJ,GlmZ RNA activator of glmS mRNA,Gene; sRNA;
RF00084,CsrC,CsrC RNA family,Gene; sRNA;
RF00085,SNORD28,Small nucleolar RNA SNORD28,Gene; snRNA; snoRNA; CD-box;
RF00086,SNORD27,Small nucleolar RNA SNORD27,Gene; snRNA; snoRNA; CD-box;
RF00087,SNORD26,Small nucleolar RNA SNORD26,Gene; snRNA; snoRNA; CD-box;
RF00088,SNORD30,Small nucleolar RNA SNORD30,Gene; snRNA; snoRNA; CD-box;
RF00089,SNORD31,Small nucleolar RNA SNORD31,Gene; snRNA; snoRNA; CD-box;
RF00090,SNORA74,Small nucleolar RNA SNORA74,Gene; snRNA; snoRNA; HACA-box;
RF00091,SNORA62,Small nucleolar RNA SNORA62/SNORA6 family,Gene; snRNA; snoRNA; HACA-box;
RF00092,SNORA63,Small nucleolar RNA SNORA63,Gene; snRNA; snoRNA; HACA-box;
RF00093,SNORD18,Small nucleolar RNA SNORD18,Gene; snRNA; snoRNA; CD-box;
RF00094,HDV_ribozyme,Hepatitis delta virus ribozyme,Gene; ribozyme;
RF00095,snoPyro_CD,Pyrococcus C/D box small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00096,U8,U8 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00097,snoR71,Plant small nucleolar RNA R71,Gene; snRNA; snoRNA; CD-box;
RF00099,SNORD22,Small nucleolar RNA SNORD22,Gene; snRNA; snoRNA; CD-box;
RF00100,7SK,7SK RNA,Gene;
RF00101,SraC_RyeA,SraC/RyeA RNA,Gene; sRNA;
RF00102,VA,VA RNA,Gene;
RF00103,mir-1,mir-1 microRNA precursor family,Gene; miRNA;
RF00104,mir-10,mir-10 microRNA precursor family,Gene; miRNA;
