Index,Puzzle,Year,Category,INF-WC,INF-NWC,INF-stacking,INF-all,RMSD,DI-all,MCQ,p-value
1,PZ1,2010,Human,"0,953",0,"0,924","0,934","3,413","3,657","13,07",0
1,PZ1,2010,Human,"0,906",0,"0,908","0,907","3,907","4,307","13,14",0
1,PZ1,2010,Human,"0,953",0,"0,911","0,918","3,953","4,305","12,34",0
1,PZ1,2010,Human,"0,949",0,"0,847","0,873","4,319","4,949","32,64",0
1,PZ1,2010,Human,"0,872",0,"0,796","0,821","4,336","5,279","15,48",0
1,PZ1,2010,Human,"0,9",0,"0,866","0,876","4,452","5,082","12,86",0
1,PZ1,2010,Human,"0,878",0,"0,838","0,851","4,563","5,362","14,63",0
1,PZ1,2010,Human,"0,651",0,"0,75","0,719","4,944","6,88","13,46",0
1,PZ1,2010,Human,"0,777",0,"0,796","0,781","5,111","6,542","11,19",0
1,PZ1,2010,Human,"0,9",0,"0,765","0,81","5,282","6,522","11,69",0
1,PZ1,2010,Human,"0,976",0,"0,838","0,883","5,699","6,457","13,73",0
1,PZ1,2010,Human,"0,95",0,"0,729","0,807","5,749","7,126","14,86",0
1,PZ1,2010,Human,"0,85",0,"0,739","0,77","6,131","7,963","14,35",0
1,PZ1,2010,Human,"0,858",0,"0,788","0,811","7,176","8,844","16,67","0,000000000753"
2,PZ2,2010,Human,"0,919",0,"0,794","0,82","2,3","2,805","23,75",0
2,PZ2,2010,Human,"0,919",0,"0,783","0,816","2,329","2,854","23,69",0
2,PZ2,2010,Human,"0,961",0,"0,863","0,872","2,496","2,861","13,56",0
2,PZ2,2010,Human,"0,904",0,"0,806","0,827","2,543","3,074","12,61",0
2,PZ2,2010,Human,"0,961",0,"0,873","0,894","2,653","2,968","17,13",0
2,PZ2,2010,Human,"0,904",0,"0,699","0,76","2,83","3,722","24,18",0
2,PZ2,2010,Human,"0,973",0,"0,797","0,83","2,834","3,415","14,41",0
2,PZ2,2010,Human,"0,946",0,"0,717","0,787","2,98","3,785","25,38",0
2,PZ2,2010,Human,"0,973",0,"0,803","0,83","3,034","3,656","13,35",0
2,PZ2,2010,Human,"0,973",0,"0,819","0,83","3,048","3,672","13,63",0
2,PZ2,2010,Human,"0,959",0,"0,813","0,832","3,464","4,166","13,04",0
2,PZ2,2010,Human,"0,889",0,"0,772","0,79","3,479","4,403","24,75",0
2,PZ2,2010,Human,"0,922",0,"0,759","0,809","3,65","4,515","18,71",0
3,PZ3,2010,Human,"0,857",0,"0,731","0,737","7,241","9,819","23,79","0,0000201"
3,PZ3,2010,Human,"0,857",0,"0,707","0,721","11,46","15,892","21,37","0,039"
3,PZ3,2010,Human,"0,898","0,408","0,706","0,73","11,965","16,394","18,71","0,0692"
3,PZ3,2010,Human,"0,834",0,"0,697","0,701","12,186","17,382","24,06","0,0871"
3,PZ3,2010,Human,"0,881","0,463","0,72","0,743","12,199","16,428","20,69","0,0883"
3,PZ3,2010,Human,"0,681",0,"0,605","0,593","13,701","23,118","40,09","0,303"
3,PZ3,2010,Human,"0,834",0,"0,602","0,633","14,057","22,219","21,3","0,375"
3,PZ3,2010,Human,"0,864","0,5","0,701","0,73","15,481","21,211","20,56","0,681"
3,PZ3,2010,Human,"0,917",0,"0,657","0,684","15,92","23,287","21,69","0,763"
3,PZ3,2010,Human,"0,881","0,463","0,706","0,733","16,954","23,124","20,36","0,901"
3,PZ3,2010,Human,"0,864","0,401","0,682","0,706","18,298","25,907","21,64","0,979"
3,PZ3,2010,Human,"0,421",0,"0,592","0,519","22,987","44,277","40,4",1
4,PZ4,2011,Human,"0,989","0,667","0,935","0,938","3,257","3,472","15,81",0
4,PZ4,2011,Human,"0,989","0,756","0,934","0,943","3,259","3,456","15,69",0
4,PZ4,2011,Human,"0,989","0,707","0,926","0,935","3,262","3,49","16,51",0
4,PZ4,2011,Human,"0,989","0,707","0,935","0,94","3,264","3,471","15,91",0
4,PZ4,2011,Human,"0,989","0,707","0,944","0,947","3,269","3,452","15,93",0
4,PZ4,2011,Human,"0,989","0,756","0,925","0,937","3,275","3,495","15,84",0
4,PZ4,2011,Human,"0,989","0,756","0,934","0,943","3,279","3,477","15,88",0
4,PZ4,2011,Human,"0,989","0,707","0,94","0,944","3,281","3,476","15,67",0
4,PZ4,2011,Human,"0,989","0,756","0,94","0,947","3,282","3,467","15,94",0
4,PZ4,2011,Human,"0,989","0,756","0,934","0,943","3,283","3,481","15,95",0
4,PZ4,2011,Human,"0,979","0,671","0,893","0,912","3,994","4,379","18,35",0
4,PZ4,2011,Human,"0,979","0,671","0,888","0,909","3,994","4,396","18,62",0
4,PZ4,2011,Human,"0,979","0,671","0,88","0,903","3,997","4,427","18,4",0
4,PZ4,2011,Human,"0,979","0,671","0,88","0,903","3,997","4,427","18,4",0
4,PZ4,2011,Human,"0,979","0,75","0,885","0,909","4,002","4,402","18,45",0
4,PZ4,2011,Human,"0,989","0,567","0,852","0,882","4,023","4,563","19,96",0
4,PZ4,2011,Human,"0,934","0,289","0,821","0,842","4,091","4,857","23,01",0
4,PZ4,2011,Human,"0,957","0,577","0,826","0,86","4,222","4,909","23,02",0
4,PZ4,2011,Human,"0,979","0,707","0,881","0,902","4,331","4,804","24,39",0
4,PZ4,2011,Human,"0,572","0,224","0,682","0,632","4,405","6,975","32,47",0
4,PZ4,2011,Human,"0,979","0,577","0,875","0,893","4,498","5,038","15,71",0
4,PZ4,2011,Human,"0,979","0,577","0,879","0,896","4,499","5,023","15,72",0
4,PZ4,2011,Human,"0,979","0,577","0,879","0,896","4,499","5,023","15,71",0
4,PZ4,2011,Human,"0,979","0,577","0,879","0,896","4,499","5,023","15,71",0
4,PZ4,2011,Human,"0,979","0,577","0,879","0,896","4,499","5,023","15,72",0
4,PZ4,2011,Human,"0,945","0,577","0,801","0,84","4,705","5,603","24,71",0
4,PZ4,2011,Human,"0,989","0,756","0,878","0,906","5,139","5,675","17,73",0
4,PZ4,2011,Human,"0,989","0,756","0,878","0,906","5,139","5,675","17,73",0
4,PZ4,2011,Human,"0,697","0,25","0,723","0,699","6,339","9,066","33,6",0
4,PZ4,2011,Human,"0,739","0,289","0,749","0,72","12,801","17,774","23,45",0
5,PZ5,2011,Human,"0,906","0,334","0,751","0,761","9,152","12,019","24,15",0
5,PZ5,2011,Human,"0,919","0,256","0,751","0,757","9,948","13,148","24,49",0
5,PZ5,2011,Human,"0,896",0,"0,661","0,7","16,778","23,964","24,14","0,00000000104"
5,PZ5,2011,Human,"0,837",0,"0,656","0,683","19,899","29,143","24,43","0,0000103"
5,PZ5,2011,Human,"0,837",0,"0,656","0,683","19,899","29,143","24,43","0,0000103"
5,PZ5,2011,Human,"0,862",0,"0,735","0,739","20,765","28,094","21,88","0,0000796"
5,PZ5,2011,Human,"0,912",0,"0,692","0,727","20,82","28,646","24,21","0,00009"
5,PZ5,2011,Human,"0,905",0,"0,663","0,7","21,443","30,612","23,82","0,000337"
5,PZ5,2011,Human,"0,789",0,"0,682","0,678","22,244","32,797","20,22","0,00157"
5,PZ5,2011,Human,"0,717",0,"0,62","0,605","22,37","36,99","23,41","0,00196"
5,PZ5,2011,Human,"0,866",0,"0,679","0,707","23,014","32,553","23,05","0,00576"
5,PZ5,2011,Human,"0,878",0,"0,712","0,726","23,685","32,635","22,97","0,0156"
5,PZ5,2011,Human,"0,86",0,"0,68","0,697","23,811","34,15","21,51","0,0186"
5,PZ5,2011,Human,"0,889",0,"0,673","0,709","24,008","33,842","24,04","0,0242"
5,PZ5,2011,Human,"0,789",0,"0,691","0,675","24,777","36,689","21,98","0,0609"
5,PZ5,2011,Human,"0,804",0,"0,732","0,707","25,673","36,329","25,3","0,147"
5,PZ5,2011,Human,"0,759",0,"0,689","0,665","26,257","39,497","26,32","0,234"
5,PZ5,2011,Human,"0,841",0,"0,703","0,715","27,195","38,027","23,23","0,419"
5,PZ5,2011,Human,"0,812",0,"0,714","0,7","27,236","38,902","24,09","0,428"
5,PZ5,2011,Human,"0,714",0,"0,739","0,689","28,714","41,689","24,69","0,739"
5,PZ5,2011,Human,"0,81",0,"0,728","0,712","31,393","44,063","23,17","0,983"
5,PZ5,2011,Human,"0,832",0,"0,741","0,725","31,522","43,503","25,41","0,986"
5,PZ5,2011,Human,"0,832",0,"0,725","0,716","31,551","44,069","26,08","0,987"
5,PZ5,2011,Human,"0,831","0,198","0,638","0,67","32,526","48,542","33,88","0,997"
5,PZ5,2011,Human,"0,857","0,205","0,66","0,691","36,543","52,904","33,18",1
6,PZ6,2012,Human,"0,885","0,316","0,702","0,724","11,699","16,151","28,1",0
6,PZ6,2012,Human,"0,885","0,333","0,702","0,726","12,405","17,08","29,01",0
6,PZ6,2012,Human,"0,885","0,347","0,705","0,726","13,627","18,774","26,13","0,000000000157"
6,PZ6,2012,Human,"0,885","0,333","0,705","0,728","14,478","19,893","29,52","0,00000000296"
6,PZ6,2012,Human,"0,885","0,347","0,694","0,719","15,048","20,942","26,61","0,0000000188"
6,PZ6,2012,Human,"0,874","0,217","0,72","0,724","15,752","21,759","27,99","0,00000016"
6,PZ6,2012,Human,"0,885","0,361","0,738","0,749","15,834","21,147","31,28","0,000000204"
6,PZ6,2012,Human,"0,869","0,237","0,731","0,734","17,875","24,363","27,71","0,0000422"
6,PZ6,2012,Human,"0,877","0,334","0,743","0,746","17,956","24,06","25,7","0,0000508"
6,PZ6,2012,Human,"0,877","0,204","0,697","0,716","21,379","29,86","33,37","0,0236"
