Index,Puzzle,Year,Metric,Min,Max
1,PZ01,2010,INF-WC,0.651,0.976
2,PZ02,2010,INF-WC,0.889,0.973
3,PZ03,2010,INF-WC,0.421,0.917
4,PZ04,2011,INF-WC,0.572,0.989
5,PZ05,2011,INF-WC,0.714,0.919
6,PZ06,2012,INF-WC,0.701,0.889
7,PZ07,2012,INF-WC,0.502,0.895
8,PZ08,2013,INF-WC,0.29,0.985
9,PZ09,2013,INF-WC,0.685,0.923
10,PZ10,2013,INF-WC,0.81,0.948
11,PZ11,2014,INF-WC,0.651,1
12,PZ12,2014,INF-WC,0.225,0.93
13,PZ13,2015,INF-WC,0,0.951
14,PZ14b,2015,INF-WC,0.782,1
15,PZ14f,2015,INF-WC,0.845,1
16,PZ15,2015,INF-WC,0.099,0.842
17,PZ16,2015,INF-WC,0,1
18,PZ17,2016,INF-WC,0.137,0.906
19,PZ18,2016,INF-WC,0.28,0.981
20,PZ19,2016,INF-WC,0.251,0.934
21,PZ20,2017,INF-WC,0,1
22,PZ21,2017,INF-WC,0,0.957
23,PZ22,2018,INF-WC,0.549,0.928
24,PZ23,2018,INF-WC,0,0.935
25,PZ24,2019,INF-WC,0.189,0.989
26,PZ25,2019,INF-WC,0.732,0.977
27,PZ26,2019,INF-WC,0,0.99
28,PZ27,2019,INF-WC,0,0.98
29,PZ28,2019,INF-WC,0.429,0.964
30,PZ29,2020,INF-WC,0,0.927
31,PZ30,2021,INF-WC,0,0.946
32,PZ31,2021,INF-WC,0,0.979
33,PZ32,2021,INF-WC,0,0.91
34,PZ33,2021,INF-WC,0,0.935
35,PZ34,2022,INF-WC,0.619,1
1,PZ01,2010,INF-NWC,0,0
2,PZ02,2010,INF-NWC,0,0
3,PZ03,2010,INF-NWC,0,0.5
4,PZ04,2011,INF-NWC,0.224,0.756
5,PZ05,2011,INF-NWC,0,0.334
6,PZ06,2012,INF-NWC,0,0.361
7,PZ07,2012,INF-NWC,0,0.267
8,PZ08,2013,INF-NWC,0,0.73
9,PZ09,2013,INF-NWC,0,0.704
10,PZ10,2013,INF-NWC,0,0.778
11,PZ11,2014,INF-NWC,0,0.218
12,PZ12,2014,INF-NWC,0,0.612
13,PZ13,2015,INF-NWC,0,0.667
14,PZ14b,2015,INF-NWC,0,0.791
15,PZ14f,2015,INF-NWC,0,0.913
16,PZ15,2015,INF-NWC,0,0.671
17,PZ16,2015,INF-NWC,0,0.913
18,PZ17,2016,INF-NWC,0,0.218
19,PZ18,2016,INF-NWC,0,0.667
20,PZ19,2016,INF-NWC,0,0.577
21,PZ20,2017,INF-NWC,0,0.775
22,PZ21,2017,INF-NWC,0,0.559
23,PZ22,2018,INF-NWC,0,0.62
24,PZ23,2018,INF-NWC,0,0.567
25,PZ24,2019,INF-NWC,0,0
26,PZ25,2019,INF-NWC,0,0.704
27,PZ26,2019,INF-NWC,0,0.745
28,PZ27,2019,INF-NWC,0,0.716
29,PZ28,2019,INF-NWC,0,0.77
30,PZ29,2020,INF-NWC,0,0.707
31,PZ30,2021,INF-NWC,0,0
32,PZ31,2021,INF-NWC,0,0
33,PZ32,2021,INF-NWC,0,0.189
