idx,name,format,nseq,alen,nres,small,large,avlen,%id
1,1-cysPrx_C,Stockholm,12141,126,443598,15,56,36.5,35
2,120_Rick_ant,Stockholm,8,316,1719,82,238,214.9,32
3,12TM_1,Stockholm,44,880,18261,170,517,415.0,15
4,14-3-3,Stockholm,8677,1000,1713068,27,287,197.4,59
5,17kDa_Anti_2,Stockholm,718,386,76402,70,138,106.4,24
6,2-Hacid_dh,Stockholm,42579,2205,13048368,31,1062,306.5,17
7,2-Hacid_dh_C,Stockholm,52138,1275,8987332,26,225,172.4,29
8,2-oxoacid_dh,Stockholm,27553,1046,6137525,29,329,222.8,33
9,2-oxogl_dehyd_N,Stockholm,8066,77,322968,24,47,40.0,37
10,2-ph_phosp,Stockholm,1974,712,427177,41,276,216.4,26
11,2-thiour_desulf,Stockholm,2401,419,338529,40,224,141.0,34
12,23ISL,Stockholm,338,263,53808,50,171,159.2,46
13,23S_rRNA_IVP,Stockholm,5143,325,523432,25,124,101.8,25
14,2CSK_N,Stockholm,3591,655,509842,49,186,142.0,20
15,2C_adapt,Stockholm,141,50,4891,25,40,34.7,41
16,2EXR,Stockholm,6475,890,708485,30,324,109.4,20
17,2Fe-2S_Ferredox,Stockholm,7,35,232,32,34,33.1,77
18,2Fe-2S_thioredx,Stockholm,12505,663,1650991,29,183,132.0,28
19,2H-phosphodiest,Stockholm,320,284,34878,62,135,109.0,24
20,2HCT,Stockholm,658,620,255044,24,480,387.6,35
21,2OG-FeII_Oxy,Stockholm,37065,915,3842086,30,267,103.7,31
22,2OG-FeII_Oxy_2,Stockholm,13132,1549,2528118,36,405,192.5,18
23,2OG-FeII_Oxy_3,Stockholm,18586,842,1915554,39,284,103.1,24
24,2OG-FeII_Oxy_4,Stockholm,1697,516,176082,32,138,103.8,43
25,2OG-FeII_Oxy_5,Stockholm,1391,398,138354,26,125,99.5,30
26,2OG-FeII_Oxy_6,Stockholm,1031,605,154203,28,270,149.6,19
27,2OG-Fe_Oxy_2,Stockholm,1049,567,200784,40,227,191.4,31
28,2TM,Stockholm,2103,224,168421,35,105,80.1,26
29,2_5_RNA_ligase2,Stockholm,7246,812,1107735,45,270,152.9,16
30,3-alpha,Stockholm,1303,88,56350,33,48,43.2,24
31,3-dmu-9_3-mt,Stockholm,7691,755,956364,17,148,124.3,28
