rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
PF10417.12,C-terminal domain of 1-Cys peroxiredoxin,Domain,12141,126,443598,36.5,35,Pfam full
PF12574.11,120 KDa Rickettsia surface antigen,Family,8,316,1719,214.9,32,Pfam full
PF09847.12,Membrane protein of 12 TMs,Family,44,880,18261,415.0,15,Pfam full
PF00244.23,14-3-3 protein,Repeat,8677,1000,1713068,197.4,59,Pfam full
PF16998.8,17 kDa outer membrane surface antigen,Family,718,386,76402,106.4,24,Pfam full
PF00389.33,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Domain,42579,2205,13048368,306.5,17,Pfam full
PF02826.22,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Domain,52138,1275,8987332,172.4,29,Pfam full
PF00198.26,2-oxoacid dehydrogenases acyltransferase (catalytic domain),Domain,27553,1046,6137525,222.8,33,Pfam full
PF16078.8,2-oxoglutarate dehydrogenase N-terminus,Family,8066,77,322968,40.0,37,Pfam full
PF04029.17,2-phosphosulpholactate phosphatase,Family,1974,712,427177,216.4,26,Pfam full
PF04463.15,2-thiouracil desulfurase,Family,2401,419,338529,141.0,34,Pfam full
PF16620.8,Unstructured linker between I-set domains 2 and 3 on MYLCK,Disordered,338,263,53808,159.2,46,Pfam full
PF05635.14,23S rRNA-intervening sequence protein,Family,5143,325,523432,101.8,25,Pfam full
PF08521.13,Two-component sensor kinase N-terminal,Family,3591,655,509842,142.0,20,Pfam full
PF08793.13,2-cysteine adaptor domain,Domain,141,50,4891,34.7,41,Pfam full
PF20150.2,2EXR family,Family,6475,890,708485,109.4,20,Pfam full
PF11591.11,Ferredoxin chloroplastic transit peptide,Family,7,35,232,33.1,77,Pfam full
PF01257.22,Thioredoxin-like [2Fe-2S] ferredoxin,Family,12505,663,1650991,132.0,28,Pfam full
PF08975.13,Domain of unknown function (DUF1868),Domain,320,284,34878,109.0,24,Pfam full
PF03390.18,2-hydroxycarboxylate transporter family,Family,658,620,255044,387.6,35,Pfam full
PF03171.23,2OG-Fe(II) oxygenase superfamily,Domain,37065,915,3842086,103.7,31,Pfam full
PF13532.9,2OG-Fe(II) oxygenase superfamily,Domain,13132,1549,2528118,192.5,18,Pfam full
PF13640.9,2OG-Fe(II) oxygenase superfamily,Domain,18586,842,1915554,103.1,24,Pfam full
PF13661.9,2OG-Fe(II) oxygenase superfamily,Domain,1697,516,176082,103.8,43,Pfam full
PF13759.9,Putative 2OG-Fe(II) oxygenase,Domain,1391,398,138354,99.5,30,Pfam full
PF20515.1,Tet-like 2OG-Fe(II) oxygenase superfamily,Domain,1031,605,154203,149.6,19,Pfam full
PF10014.12,2OG-Fe dioxygenase,Domain,1049,567,200784,191.4,31,Pfam full
PF13239.9,2TM domain,Family,2103,224,168421,80.1,26,Pfam full
PF13563.9,2'-5' RNA ligase superfamily,Family,7246,812,1107735,152.9,16,Pfam full
PF03475.17,3-alpha domain,Domain,1303,88,56350,43.2,24,Pfam full
PF06983.16,3-demethylubiquinone-9 3-methyltransferase,Family,7691,755,956364,124.3,28,Pfam full
PF06052.15,3-hydroxyanthranilic acid dioxygenase,Domain,2193,605,318457,145.2,43,Pfam full
PF12578.11,Myotubularin-associated protein,Family,1116,345,138819,124.4,32,Pfam full
PF17644.4,Core domain of 30K viral movement proteins,Domain,3,154,420,140.0,34,Pfam full
PF11330.11,C-Terminal of 30K viral movement proteins,Family,2,273,495,247.5,36,Pfam full
PF00803.21,3A/RNA2 movement protein family,Family,49,392,11238,229.3,19,Pfam full
