rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF00370,sroD RNA,Gene; sRNA;,41,99,3566,87.0,80,Rfam full
RF00371,sroE RNA,Gene; sRNA;,37,132,3134,84.7,77,Rfam full
RF00372,sroH RNA,Gene; sRNA;,8,177,1300,162.5,82,Rfam full
RF00373,Archaeal RNase P,Gene; ribozyme;,373,1324,122239,327.7,49,Rfam full
RF00374,Gammaretrovirus core encapsidation signal,Cis-reg;,164,128,16532,100.8,77,Rfam full
RF00375,HIV primer binding site (PBS),Cis-reg;,141,103,13938,98.9,90,Rfam full
RF00377,Small nucleolar RNA U6-53/MBII-28,Gene; snRNA; snoRNA; CD-box;,191,189,19677,103.0,63,Rfam full
RF00376,HIV gag stem loop 3 (GSL3),Cis-reg;,94,93,7877,83.8,80,Rfam full
RF00381,Antizyme RNA frameshifting stimulation element,Cis-reg; frameshift_element;,293,60,16870,57.6,87,Rfam full
RF00382,DnaX ribosomal frameshifting element,Cis-reg; frameshift_element;,79,85,5063,64.1,74,Rfam full
RF00689,microRNA MIR390,Gene; miRNA;,225,246,25711,114.3,68,Rfam full
RF00380,M-box riboswitch (ykoK leader),Cis-reg; riboswitch;,1072,466,181457,169.3,59,Rfam full
RF00384,Poxvirus AX element late mRNA cis-regulatory element,Cis-reg;,15,62,930,62.0,92,Rfam full
RF00378,Qrr RNA,Gene; sRNA;,190,153,19896,104.7,77,Rfam full
RF00383,Insertion sequence IS1222 ribosomal frameshifting element,Cis-reg; frameshift_element;,100,140,11500,115.0,87,Rfam full
RF00386,Enterovirus 5' cloverleaf cis-acting replication element,Cis-reg;,161,133,14361,89.2,84,Rfam full
RF00387,FGF-1 internal ribosome entry site (IRES),Cis-reg; IRES;,40,240,6674,166.8,77,Rfam full
RF00385,Infectious bronchitis virus D-RNA,Cis-reg;,18,44,752,41.8,88,Rfam full
RF00388,Anti-Q RNA,Gene; antisense;,10,113,1026,102.6,70,Rfam full
RF00389,Bamboo mosaic virus satellite RNA cis-regulatory element,Cis-reg;,43,159,6793,158.0,93,Rfam full
RF00391,RtT RNA,Cis-reg;,551,373,73550,133.5,60,Rfam full
RF00687,microRNA mir-136,Gene; miRNA;,53,82,4248,80.2,98,Rfam full
RF00392,Small nucleolar RNA SNORA5,Gene; snRNA; snoRNA; HACA-box;,419,354,54653,130.4,59,Rfam full
RF00390,UPSK RNA,Cis-reg;,7,23,161,23.0,94,Rfam full
RF00393,Small nucleolar RNA SNORA8,Gene; snRNA; snoRNA; HACA-box;,294,273,39675,134.9,74,Rfam full
RF00394,Small nucleolar RNA SNORA4,Gene; snRNA; snoRNA; HACA-box;,102,236,14091,138.1,74,Rfam full
RF00397,Small nucleolar RNA SNORA14,Gene; snRNA; snoRNA; HACA-box;,167,251,22318,133.6,66,Rfam full
RF00396,Small nucleolar RNA SNORA13,Gene; snRNA; snoRNA; HACA-box;,221,312,29465,133.3,61,Rfam full
RF00398,Small nucleolar RNA SNORA15,Gene; snRNA; snoRNA; HACA-box;,216,323,28616,132.5,63,Rfam full
RF00399,Small nucleolar RNA SNORA24,Gene; snRNA; snoRNA; HACA-box;,209,235,26299,125.8,72,Rfam full
RF00402,Small nucleolar RNA SNORA25,Gene; snRNA; snoRNA; HACA-box;,294,204,37475,127.5,74,Rfam full
RF00401,Small nucleolar RNA SNORA20,Gene; snRNA; snoRNA; HACA-box;,137,190,17739,129.5,77,Rfam full
RF00691,microRNA mir-146,Gene; miRNA;,291,116,26712,91.8,65,Rfam full
RF00404,Small nucleolar RNA SNORA46,Gene; snRNA; snoRNA; HACA-box;,126,233,17357,137.8,78,Rfam full
RF00405,Small nucleolar RNA SNORA44,Gene; snRNA; snoRNA; HACA-box;,341,305,43468,127.5,67,Rfam full
RF01400,istR Hfq binding RNA,Gene; antitoxin;,36,201,4671,129.8,77,Rfam full
RF01401,rseX Hfq binding RNA,Gene; sRNA;,18,101,1671,92.8,76,Rfam full
RF01402,STnc150 Hfq binding RNA,Gene; sRNA;,15,283,3701,246.7,90,Rfam full
RF01403,STnc290 Hfq binding RNA,Gene; sRNA;,11,66,716,65.1,98,Rfam full
RF01405,STnc490 Hfq binding RNA,Gene; sRNA;,255,165,31104,122.0,86,Rfam full
RF01406,STnc500 Hfq binding RNA,Gene; sRNA;,13,296,3588,276.0,93,Rfam full
RF01404,PinT (STnc440) Hfq binding RNA,Gene; sRNA;,9,76,684,76.0,99,Rfam full
RF01407,STnc560 Hfq binding RNA,Gene; sRNA;,29,443,6259,215.8,71,Rfam full
RF00690,microRNA MIR408,Gene; miRNA;,107,285,15761,147.3,65,Rfam full
RF01408,sraL Hfq binding RNA,Gene; sRNA;,47,241,6551,139.4,75,Rfam full
RF01409,STnc250 Hfq binding RNA,Gene; sRNA;,13,141,1254,96.5,80,Rfam full
RF01410,BsrC,Gene; sRNA;,347,106,30209,87.1,65,Rfam full
RF01412,BsrG,Gene; sRNA;,298,847,76654,257.2,46,Rfam full
RF01411,BsrF,Gene; sRNA;,121,176,13418,110.9,63,Rfam full
RF01414,Class I RNA from Dictyostelium,Gene;,152,196,9446,62.1,55,Rfam full
RF01415,Flavivirus 3'UTR stem loop IV,Cis-reg;,117,127,8938,76.4,68,Rfam full
RF01413,miR-430 microRNA precursor family,Gene; miRNA;,643,93,44579,69.3,66,Rfam full
RF01417,Retroviral 3'UTR stability element,Cis-reg;,79,328,22618,286.3,72,Rfam full
RF01416,NrrF RNA,Gene; antisense;,8,225,1324,165.5,71,Rfam full
RF00693,microRNA mir-147,Gene; miRNA;,275,96,19186,69.8,74,Rfam full
RF01419,Antisense RNA which regulates isiA expression,Gene; antisense;,1401,425,240675,171.8,70,Rfam full
RF01418,HIV pol-1 stem loop,Cis-reg;,48,113,5424,113.0,83,Rfam full
RF01420,Small nucleolar RNA snoR113,Gene; snRNA; snoRNA; CD-box;,156,197,16170,103.7,69,Rfam full
RF01421,small nucleolar RNA snoR114,Gene; snRNA; snoRNA; CD-box;,500,164,43495,87.0,61,Rfam full
RF01422,small nucleolar RNA snoR116,Gene; snRNA; snoRNA; CD-box;,94,122,8179,87.0,70,Rfam full
RF01423,small nucleolar RNA snoR117,Gene; snRNA; snoRNA; CD-box;,157,112,12660,80.6,63,Rfam full
RF01424,small nucleolar RNA snoR118,Gene; snRNA; snoRNA; CD-box;,235,152,20624,87.8,70,Rfam full
RF01451,small nucleolar RNA snR97,Gene; snRNA; snoRNA; HACA-box;,3,148,443,147.7,100,Rfam full
RF01452,small nucleolar RNA snR99,Gene; snRNA; snoRNA; HACA-box;,11,192,2053,186.6,86,Rfam full
RF01454,5'UTR enhancer element,Cis-reg;,3,123,365,121.7,82,Rfam full
RF00692,microRNA MIR171_2,Gene; miRNA;,115,205,12349,107.4,68,Rfam full
RF01455,Stem loopII regulatory element in POLB,Cis-reg;,74,90,6108,82.5,83,Rfam full
RF01453,3'TE-DR1 translation enhancer element,Cis-reg;,3,138,414,138.0,89,Rfam full
RF01457,Listeria sRNA rli22,Gene; sRNA;,7,111,774,110.6,98,Rfam full
RF01456,Vibrio regulatory RNA of OmpA,Gene; antisense;,43,256,5754,133.8,68,Rfam full
