idx,name,format,nseq,alen,nres,small,large,avlen,%id
1,5S_rRNA,Stockholm,712,230,83024,91,135,116.6,56
2,5_8S_rRNA,Stockholm,61,207,9285,115,177,152.2,67
3,U1,Stockholm,100,203,16228,150,172,162.3,63
4,U2,Stockholm,208,278,39627,142,214,190.5,59
5,tRNA,Stockholm,954,118,70041,62,93,73.4,44
6,Vault,Stockholm,73,163,7368,53,144,100.9,58
7,U12,Stockholm,62,269,9992,135,215,161.2,61
8,Hammerhead_3,Stockholm,85,85,4686,40,82,55.1,66
9,RNaseP_nuc,Stockholm,116,845,36375,189,440,313.6,45
10,RNaseP_bact_a,Stockholm,458,996,174202,281,520,380.4,58
11,RNaseP_bact_b,Stockholm,114,604,41837,291,417,367.0,65
12,U3,Stockholm,87,316,18181,98,226,209.0,57
13,6S,Stockholm,150,262,26966,144,200,179.8,43
14,DsrA,Stockholm,5,88,428,84,87,85.6,83
15,U4,Stockholm,177,261,25436,67,231,143.7,57
16,SNORD14,Stockholm,18,159,1990,90,131,110.6,66
17,Metazoa_SRP,Stockholm,91,412,26659,162,307,293.0,68
18,CsrB,Stockholm,38,438,13246,311,361,348.6,70
19,Y_RNA,Stockholm,104,145,10418,81,118,100.2,63
20,U5,Stockholm,180,192,21093,104,157,117.2,52
21,Spot_42,Stockholm,19,142,2239,113,128,117.8,78
22,GcvB,Stockholm,27,284,5465,188,213,202.4,61
23,tmRNA,Stockholm,477,954,170450,230,437,357.3,42
24,Telomerase-vert,Stockholm,37,777,16452,382,559,444.6,55
25,Telomerase-cil,Stockholm,21,261,3653,150,210,174.0,54
26,U6,Stockholm,188,215,20116,85,167,107.0,70
27,let-7,Stockholm,64,95,5110,69,89,79.8,67
28,Intron_gpI,Stockholm,12,891,4378,206,488,364.8,34
29,Intron_gpII,Stockholm,92,186,8152,61,154,88.6,53
30,RNase_MRP,Stockholm,66,1213,21210,183,562,321.4,45
31,SECIS_1,Stockholm,61,93,3932,57,73,64.5,41
32,Histone3,Stockholm,46,47,2110,45,46,45.9,48
33,MicF,Stockholm,4,96,368,86,94,92.0,83
34,RprA,Stockholm,13,120,1406,104,114,108.2,66
35,OxyS,Stockholm,5,114,548,107,112,109.6,90
36,RRE,Stockholm,65,340,21950,334,340,337.7,97
37,IRE_I,Stockholm,62,38,2185,30,37,35.2,77
38,PrfA,Stockholm,11,135,1444,130,133,131.3,87
39,DicF,Stockholm,5,55,257,47,54,51.4,74
40,rne5,Stockholm,6,455,2074,324,397,345.7,63
41,Entero_OriR,Stockholm,60,139,7316,119,131,121.9,88
42,CopA,Stockholm,37,95,3332,87,92,90.1,80
43,Plasmid_R1162,Stockholm,8,77,586,72,75,73.2,75
44,Phage_pRNA,Stockholm,3,244,732,244,244,244.0,98
45,SNORA73,Stockholm,66,269,13369,110,225,202.6,72
46,snoR30,Stockholm,6,96,575,95,96,95.8,87
47,mir-2,Stockholm,56,86,3913,61,76,69.9,66
48,Entero_CRE,Stockholm,56,61,3416,61,61,61.0,81
49,SNORD36,Stockholm,59,93,4411,65,86,74.8,65
