idx,name,format,nseq,alen,nres,small,large,avlen,%id
1,1-cysPrx_C,Stockholm,40,55,1560,34,50,39.0,29
2,120_Rick_ant,Stockholm,2,240,473,235,238,236.5,78
3,12TM_1,Stockholm,7,504,3107,406,481,443.9,18
4,14-3-3,Stockholm,149,301,33191,209,233,222.8,45
5,17kDa_Anti_2,Stockholm,6,122,687,112,117,114.5,34
6,2-Hacid_dh,Stockholm,78,363,24635,283,331,315.8,20
7,2-Hacid_dh_C,Stockholm,135,258,24043,166,194,178.1,30
8,2-oxoacid_dh,Stockholm,70,299,16149,211,273,230.7,32
9,2-oxogl_dehyd_N,Stockholm,208,44,8531,41,44,41.0,38
10,2-ph_phosp,Stockholm,125,344,28187,208,252,225.5,33
11,2-thiour_desulf,Stockholm,338,250,47618,129,156,140.9,35
12,23ISL,Stockholm,16,169,2572,154,168,160.8,53
13,23S_rRNA_IVP,Stockholm,346,127,36560,99,114,105.7,29
14,2CSK_N,Stockholm,153,247,22129,132,162,144.6,25
15,2C_adapt,Stockholm,18,40,642,34,40,35.7,31
16,2EXR,Stockholm,204,291,21545,76,172,105.6,21
17,2Fe-2S_Ferredox,Stockholm,2,34,66,32,34,33.0,69
18,2Fe-2S_thioredx,Stockholm,119,198,17429,140,158,146.5,35
19,2H-phosphodiest,Stockholm,13,126,1502,107,120,115.5,33
20,2HCT,Stockholm,68,518,28299,401,469,416.2,35
21,2OG-FeII_Oxy,Stockholm,135,242,13750,88,127,101.9,23
22,2OG-FeII_Oxy_2,Stockholm,36,465,7446,180,256,206.8,23
23,2OG-FeII_Oxy_3,Stockholm,308,251,31161,80,128,101.2,23
24,2OG-FeII_Oxy_4,Stockholm,16,119,1579,90,110,98.7,40
25,2OG-FeII_Oxy_5,Stockholm,31,131,3154,95,114,101.7,30
26,2OG-FeII_Oxy_6,Stockholm,42,330,8511,148,237,202.6,21
27,2OG-Fe_Oxy_2,Stockholm,93,288,18125,184,217,194.9,30
28,2TM,Stockholm,123,146,10005,74,103,81.3,27
29,2_5_RNA_ligase2,Stockholm,89,396,14171,141,218,159.2,16
30,3-alpha,Stockholm,82,46,3582,42,46,43.7,26
31,3-dmu-9_3-mt,Stockholm,19,138,2266,115,127,119.3,40
32,3-HAO,Stockholm,4,155,605,149,155,151.2,44
33,3-PAP,Stockholm,23,152,3031,129,135,131.8,44
34,30K_MP_core,Stockholm,1,138,138,138,138,138.0,100
35,30K_MP_C_Ter,Stockholm,1,242,242,242,242,242.0,100
36,3A,Stockholm,8,286,1844,223,238,230.5,17
37,3Beta_HSD,Stockholm,8,301,2219,270,285,277.4,31
38,3D,Stockholm,41,83,2888,62,82,70.4,38
39,3H,Stockholm,178,111,17304,90,105,97.2,37
40,3HBOH,Stockholm,13,748,8972,676,713,690.2,53
41,3HCDH,Stockholm,65,109,6279,91,105,96.6,31
42,3HCDH_N,Stockholm,57,209,10269,165,190,180.2,33
43,3HCDH_RFF,Stockholm,24,75,1659,66,72,69.1,30
44,3keto-disac_hyd,Stockholm,185,533,36459,157,294,197.1,21
45,40S_S4_C,Stockholm,60,50,2865,45,49,47.8,54
46,40S_SA_C,Stockholm,20,158,1982,93,112,99.1,37
47,4F5,Stockholm,37,45,1361,33,43,36.8,29
48,4HB,Stockholm,90,78,6945,73,78,77.2,42
49,4HBT,Stockholm,125,98,10001,72,91,80.0,18
50,4HBT_2,Stockholm,63,434,8285,113,296,131.5,17
51,4HBT_3,Stockholm,235,606,61698,232,334,262.5,19
52,4HB_MCP_1,Stockholm,39,202,7072,178,187,181.3,18
53,4HFCP_synth,Stockholm,53,282,11898,213,250,224.5,39
54,4HPAD_g_N,Stockholm,6,33,188,31,33,31.3,43
55,4PPT_N,Stockholm,33,98,2267,66,76,68.7,34
56,4_1_CTD,Stockholm,10,115,1075,106,111,107.5,59
57,5-FTHF_cyc-lig,Stockholm,18,243,3340,170,204,185.6,23
58,5-nucleotidase,Stockholm,77,334,20472,258,291,265.9,46
59,53-BP1_Tudor,Stockholm,2,122,244,122,122,122.0,76
60,5HT_transport_N,Stockholm,9,41,367,39,41,40.8,63
61,5TM-5TMR_LYT,Stockholm,59,219,10129,158,184,171.7,29
62,5_3_exonuc,Stockholm,749,184,72053,87,122,96.2,37
63,5_3_exonuc_N,Stockholm,716,428,120585,154,205,168.4,36
64,5_nucleotid,Stockholm,85,662,39132,433,505,460.4,34
65,5_nucleotid_C,Stockholm,51,310,8490,145,203,166.5,21
66,60KD_IMP,Stockholm,455,614,89003,175,258,195.6,33
67,6PF2K,Stockholm,11,245,2464,217,241,224.0,40
68,6PGD,Stockholm,328,424,95685,273,323,291.7,46
69,7kD_DNA_binding,Stockholm,3,59,175,58,59,58.3,78
70,7TM-7TMR_HD,Stockholm,62,246,11988,179,213,193.4,20
71,7TMR-DISMED2,Stockholm,205,296,27613,126,159,134.7,19
72,7TMR-DISM_7TM,Stockholm,174,288,35538,193,221,204.2,18
73,7TMR-HDED,Stockholm,189,607,45846,199,363,242.6,19
74,7tm_1,Stockholm,63,717,17301,242,632,274.6,21
75,7tm_2,Stockholm,27,356,6789,233,280,251.4,30
76,7tm_3,Stockholm,616,732,156219,139,323,253.6,22
77,7tm_4,Stockholm,4,294,1116,278,280,279.0,47
78,7tm_6,Stockholm,36,468,11317,284,407,314.4,17
79,7tm_7,Stockholm,75,500,28141,334,411,375.2,13
80,7TM_GPCR_Sra,Stockholm,10,332,3286,328,330,328.6,40
81,7TM_GPCR_Srab,Stockholm,17,343,5548,321,331,326.4,30
82,7TM_GPCR_Srb,Stockholm,3,239,707,233,238,235.7,39
83,7TM_GPCR_Srbc,Stockholm,59,308,16026,262,287,271.6,30
84,7TM_GPCR_Srd,Stockholm,55,325,16096,286,301,292.7,23
85,7TM_GPCR_Srh,Stockholm,174,348,52470,284,308,301.6,26
86,7TM_GPCR_Sri,Stockholm,51,323,15446,300,309,302.9,28
87,7TM_GPCR_Srj,Stockholm,35,337,10734,197,328,306.7,39
88,7TM_GPCR_Srsx,Stockholm,23,284,5951,254,271,258.7,26
89,7TM_GPCR_Srt,Stockholm,37,329,11535,307,317,311.8,34
90,7TM_GPCR_Sru,Stockholm,109,425,33155,282,333,304.2,30
91,7TM_GPCR_Srv,Stockholm,25,321,7077,275,293,283.1,28
92,7TM_GPCR_Srw,Stockholm,85,429,26572,235,342,312.6,26
93,7TM_GPCR_Srx,Stockholm,67,294,17406,206,271,259.8,23
94,7TM_GPCR_Srz,Stockholm,54,341,14273,248,291,264.3,27
95,7TM_GPCR_Str,Stockholm,160,370,49042,281,321,306.5,26
96,7TM_transglut,Stockholm,38,251,9387,245,248,247.0,49
