idx,name,format,nseq,alen,nres,small,large,avlen,%id
1,sroD,Stockholm,41,99,3566,84,89,87.0,80
2,sroE,Stockholm,37,132,3134,64,98,84.7,77
3,sroH,Stockholm,8,177,1300,153,174,162.5,82
4,RNaseP_arch,Stockholm,373,1324,122239,224,635,327.7,49
5,Gammaretro_CES,Stockholm,164,128,16532,86,105,100.8,77
6,HIV_PBS,Stockholm,141,103,13938,93,101,98.9,90
7,snoU6-53,Stockholm,191,189,19677,48,132,103.0,63
8,HIV_GSL3,Stockholm,94,93,7877,72,84,83.8,80
9,Antizyme_FSE,Stockholm,293,60,16870,55,60,57.6,87
10,DnaX,Stockholm,79,85,5063,61,68,64.1,74
11,MIR390,Stockholm,225,246,25711,83,196,114.3,68
12,M-box,Stockholm,1072,466,181457,62,283,169.3,59
13,Pox_AX_element,Stockholm,15,62,930,62,62,62.0,92
14,Qrr,Stockholm,190,153,19896,50,128,104.7,77
15,IS1222_FSE,Stockholm,100,140,11500,63,118,115.0,87
16,Entero_5_CRE,Stockholm,161,133,14361,67,122,89.2,84
17,IRES_FGF1,Stockholm,40,240,6674,152,178,166.8,77
18,IBV_D-RNA,Stockholm,18,44,752,41,43,41.8,88
19,Anti-Q_RNA,Stockholm,10,113,1026,97,110,102.6,70
20,satBaMV_CRE,Stockholm,43,159,6793,152,159,158.0,93
21,RtT,Stockholm,551,373,73550,57,171,133.5,60
22,mir-136,Stockholm,53,82,4248,56,82,80.2,98
23,SNORA5,Stockholm,419,354,54653,53,163,130.4,59
24,UPSK,Stockholm,7,23,161,23,23,23.0,94
25,SNORA8,Stockholm,294,273,39675,81,161,134.9,74
26,SNORA4,Stockholm,102,236,14091,89,164,138.1,74
27,SNORA14,Stockholm,167,251,22318,52,161,133.6,66
28,SNORA13,Stockholm,221,312,29465,117,155,133.3,61
29,SNORA15,Stockholm,216,323,28616,75,163,132.5,63
30,SNORA24,Stockholm,209,235,26299,56,149,125.8,72
31,SNORA25,Stockholm,294,204,37475,111,134,127.5,74
32,SNORA20,Stockholm,137,190,17739,93,136,129.5,77
33,mir-146,Stockholm,291,116,26712,86,97,91.8,65
