AC,ID,DE,TP
PF10417.12,1-cysPrx_C,C-terminal domain of 1-Cys peroxiredoxin,Domain
PF12574.11,120_Rick_ant,120 KDa Rickettsia surface antigen,Family
PF09847.12,12TM_1,Membrane protein of 12 TMs,Family
PF00244.23,14-3-3,14-3-3 protein,Repeat
PF16998.8,17kDa_Anti_2,17 kDa outer membrane surface antigen,Family
PF00389.33,2-Hacid_dh,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Domain
PF02826.22,2-Hacid_dh_C,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Domain
PF00198.26,2-oxoacid_dh,2-oxoacid dehydrogenases acyltransferase (catalytic domain),Domain
PF16078.8,2-oxogl_dehyd_N,2-oxoglutarate dehydrogenase N-terminus,Family
PF04029.17,2-ph_phosp,2-phosphosulpholactate phosphatase,Family
PF04463.15,2-thiour_desulf,2-thiouracil desulfurase,Family
PF16620.8,23ISL,Unstructured linker between I-set domains 2 and 3 on MYLCK,Disordered
PF05635.14,23S_rRNA_IVP,23S rRNA-intervening sequence protein,Family
PF08521.13,2CSK_N,Two-component sensor kinase N-terminal,Family
PF08793.13,2C_adapt,2-cysteine adaptor domain,Domain
PF20150.2,2EXR,2EXR family,Family
PF11591.11,2Fe-2S_Ferredox,Ferredoxin chloroplastic transit peptide,Family
PF01257.22,2Fe-2S_thioredx,Thioredoxin-like [2Fe-2S] ferredoxin,Family
PF08975.13,2H-phosphodiest,Domain of unknown function (DUF1868),Domain
PF03390.18,2HCT,2-hydroxycarboxylate transporter family,Family
PF03171.23,2OG-FeII_Oxy,2OG-Fe(II) oxygenase superfamily,Domain
PF13532.9,2OG-FeII_Oxy_2,2OG-Fe(II) oxygenase superfamily,Domain
PF13640.9,2OG-FeII_Oxy_3,2OG-Fe(II) oxygenase superfamily,Domain
PF13661.9,2OG-FeII_Oxy_4,2OG-Fe(II) oxygenase superfamily,Domain
PF13759.9,2OG-FeII_Oxy_5,Putative 2OG-Fe(II) oxygenase,Domain
PF20515.1,2OG-FeII_Oxy_6,Tet-like 2OG-Fe(II) oxygenase superfamily,Domain
PF10014.12,2OG-Fe_Oxy_2,2OG-Fe dioxygenase,Domain
PF13239.9,2TM,2TM domain,Family
PF13563.9,2_5_RNA_ligase2,2'-5' RNA ligase superfamily,Family
PF03475.17,3-alpha,3-alpha domain,Domain
PF06983.16,3-dmu-9_3-mt,3-demethylubiquinone-9 3-methyltransferase,Family
PF06052.15,3-HAO,3-hydroxyanthranilic acid dioxygenase,Domain
PF12578.11,3-PAP,Myotubularin-associated protein,Family
PF17644.4,30K_MP_core,Core domain of 30K viral movement proteins,Domain
PF11330.11,30K_MP_C_Ter,C-Terminal of 30K viral movement proteins,Family
PF00803.21,3A,3A/RNA2 movement protein family,Family
PF01073.22,3Beta_HSD,3-beta hydroxysteroid dehydrogenase/isomerase family,Family
PF06725.14,3D,3D domain,Domain
PF02829.17,3H,3H domain,Family
PF10605.12,3HBOH,3HB-oligomer hydrolase (3HBOH),Family
PF00725.25,3HCDH,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain",Domain
PF02737.21,3HCDH_N,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain",Domain
