rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF00001,5S ribosomal RNA,Gene; rRNA;,712,230,83024,116.6,56,Rfam seed
RF00002,5.8S ribosomal RNA,Gene; rRNA;,61,207,9285,152.2,67,Rfam seed
RF00003,U1 spliceosomal RNA,Gene; snRNA; splicing;,100,203,16228,162.3,63,Rfam seed
RF00004,U2 spliceosomal RNA,Gene; snRNA; splicing;,208,278,39627,190.5,59,Rfam seed
RF00005,tRNA,Gene; tRNA;,954,118,70041,73.4,44,Rfam seed
RF00006,Vault RNA,Gene;,73,163,7368,100.9,58,Rfam seed
RF00007,U12 minor spliceosomal RNA,Gene; snRNA; splicing;,62,269,9992,161.2,61,Rfam seed
RF00008,Hammerhead ribozyme (type III),Gene; ribozyme;,85,85,4686,55.1,66,Rfam seed
RF00009,Nuclear RNase P,Gene; ribozyme;,116,845,36375,313.6,45,Rfam seed
RF00010,Bacterial RNase P class A,Gene; ribozyme;,458,996,174202,380.4,58,Rfam seed
RF00011,Bacterial RNase P class B,Gene; ribozyme;,114,604,41837,367.0,65,Rfam seed
RF00012,Small nucleolar RNA U3,Gene; snRNA; snoRNA; CD-box;,87,316,18181,209.0,57,Rfam seed
RF00013,6S / SsrS RNA,Gene;,150,262,26966,179.8,43,Rfam seed
RF00014,DsrA RNA,Gene; sRNA;,5,88,428,85.6,83,Rfam seed
RF00015,U4 spliceosomal RNA,Gene; snRNA; splicing;,177,261,25436,143.7,57,Rfam seed
RF00016,Small nucleolar RNA SNORD14,Gene; snRNA; snoRNA; CD-box;,18,159,1990,110.6,66,Rfam seed
RF00017,Metazoan signal recognition particle RNA,Gene;,91,412,26659,293.0,68,Rfam seed
RF00018,CsrB/RsmB RNA family,Gene; sRNA;,38,438,13246,348.6,70,Rfam seed
RF00019,Y RNA,Gene;,104,145,10418,100.2,63,Rfam seed
RF00020,U5 spliceosomal RNA,Gene; snRNA; splicing;,180,192,21093,117.2,52,Rfam seed
RF00021,Spot 42 RNA,Gene; sRNA;,19,142,2239,117.8,78,Rfam seed
RF00022,GcvB RNA,Gene;,27,284,5465,202.4,61,Rfam seed
RF00023,transfer-messenger RNA,Gene;,477,954,170450,357.3,42,Rfam seed
RF00024,Vertebrate telomerase RNA,Gene;,37,777,16452,444.6,55,Rfam seed
RF00025,Ciliate telomerase RNA,Gene;,21,261,3653,174.0,54,Rfam seed
RF00026,U6 spliceosomal RNA,Gene; snRNA; splicing;,188,215,20116,107.0,70,Rfam seed
