id,rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
,RF00001,5S ribosomal RNA,rRNA subunit,712,230,83024,116.6,56,Rfam seed
,RF00002,5.8S ribosomal RNA,rRNA subunit,61,207,9285,152.2,67,Rfam seed
,RF00003,U1 spliceosomal RNA,Splicing Factor,100,203,16228,162.3,63,Rfam seed
,RF00004,U2 spliceosomal RNA,Splicing Factor,208,278,39627,190.5,59,Rfam seed
,RF00005,tRNA,tRNA,954,118,70041,73.4,44,Rfam seed
,RF00006,Vault RNA,Gene,73,163,7368,100.9,58,Rfam seed
,RF00007,U12 minor spliceosomal RNA,Splicing Factor,62,269,9992,161.2,61,Rfam seed
,RF00008,Hammerhead ribozyme (type III),Ribozyme,85,85,4686,55.1,66,Rfam seed
,RF00009,Nuclear RNase P,Ribozyme,116,845,36375,313.6,45,Rfam seed
,RF00010,Bacterial RNase P class A,Ribozyme,458,996,174202,380.4,58,Rfam seed
,RF00011,Bacterial RNase P class B,Ribozyme,114,604,41837,367.0,65,Rfam seed
,RF00012,Small nucleolar RNA U3,snoRNA,87,316,18181,209.0,57,Rfam seed
,RF00013,6S / SsrS RNA,Gene,150,262,26966,179.8,43,Rfam seed
,RF00014,DsrA RNA,sRNA,5,88,428,85.6,83,Rfam seed
,RF00015,U4 spliceosomal RNA,Splicing Factor,177,261,25436,143.7,57,Rfam seed
,RF00016,Small nucleolar RNA SNORD14,snoRNA,18,159,1990,110.6,66,Rfam seed
,RF00017,Metazoan signal recognition particle RNA,Gene,91,412,26659,293.0,68,Rfam seed
,RF00018,CsrB/RsmB RNA family,sRNA,38,438,13246,348.6,70,Rfam seed
,RF00019,Y RNA,Gene,104,145,10418,100.2,63,Rfam seed
,RF00020,U5 spliceosomal RNA,Splicing Factor,180,192,21093,117.2,52,Rfam seed
,RF00021,Spot 42 RNA,sRNA,19,142,2239,117.8,78,Rfam seed
,RF00022,GcvB RNA,Gene,27,284,5465,202.4,61,Rfam seed
,RF00023,transfer-messenger RNA,Gene,477,954,170450,357.3,42,Rfam seed
,RF00024,Vertebrate telomerase RNA,Gene,37,777,16452,444.6,55,Rfam seed
,RF00025,Ciliate telomerase RNA,Gene,21,261,3653,174.0,54,Rfam seed
,RF00026,U6 spliceosomal RNA,Splicing Factor,188,215,20116,107.0,70,Rfam seed
,RF00027,let-7 microRNA precursor,miRNA Precursor,64,95,5110,79.8,67,Rfam seed
,RF00028,Group I catalytic intron,Intron,12,891,4378,364.8,34,Rfam seed
,RF00029,Group II catalytic intron,Intron,92,186,8152,88.6,53,Rfam seed
,RF00030,RNase MRP,Ribozyme,66,1213,21210,321.4,45,Rfam seed
,RF00031,Selenocysteine insertion sequence 1,Cis-regulatory,61,93,3932,64.5,41,Rfam seed
,RF00032,Histone 3' UTR stem-loop,Cis-regulatory,46,47,2110,45.9,48,Rfam seed
,RF00033,MicF RNA,Antisense RNA,4,96,368,92.0,83,Rfam seed
,RF00034,RprA RNA,sRNA,13,120,1406,108.2,66,Rfam seed
,RF00035,OxyS RNA,sRNA,5,114,548,109.6,90,Rfam seed
,RF00036,HIV Rev response element,Cis-regulatory,65,340,21950,337.7,97,Rfam seed
,RF00037,Iron response element I,Cis-regulatory,62,38,2185,35.2,77,Rfam seed
,RF00038,PrfA thermoregulator UTR,Thermoregulator,11,135,1444,131.3,87,Rfam seed
,RF00039,DicF RNA,Antisense RNA,5,55,257,51.4,74,Rfam seed
,RF00040,RNase E 5' UTR element,Cis-regulatory,6,455,2074,345.7,63,Rfam seed
,RF00041,Enteroviral 3' UTR element,Cis-regulatory,60,139,7316,121.9,88,Rfam seed
,RF00042,CopA-like RNA,Antisense RNA,37,95,3332,90.1,80,Rfam seed
,RF00043,R1162-like plasmid antisense RNA,Antisense RNA,8,77,586,73.2,75,Rfam seed
,RF00044,Bacteriophage pRNA,Gene,3,244,732,244.0,98,Rfam seed
,RF00045,Small nucleolar RNA SNORA73 family,snoRNA,66,269,13369,202.6,72,Rfam seed
,RF00046,Small nucleolar RNA R30/Z108,snoRNA,6,96,575,95.8,87,Rfam seed
,RF00047,mir-2 microRNA precursor,miRNA Precursor,56,86,3913,69.9,66,Rfam seed
,RF00048,Enterovirus cis-acting replication element,Cis-regulatory,56,61,3416,61.0,81,Rfam seed
,RF00049,Small nucleolar RNA SNORD36,snoRNA,59,93,4411,74.8,65,Rfam seed
,RF00050,FMN riboswitch (RFN element),Riboswitch,146,221,19855,136.0,68,Rfam seed
,RF00051,mir-17 microRNA precursor family,miRNA Precursor,233,84,17409,74.7,64,Rfam seed
,RF00052,lin-4 microRNA precursor,miRNA Precursor,12,74,839,69.9,69,Rfam seed
,RF00053,mir-7 microRNA precursor,miRNA Precursor,57,104,5020,88.1,65,Rfam seed
,RF00054,Small nucleolar RNA SNORD25,snoRNA,12,91,991,82.6,67,Rfam seed
,RF00055,Small nucleolar RNA SNORD96 family,snoRNA,9,105,789,87.7,60,Rfam seed
,RF00056,Small nucleolar RNA SNORA71,snoRNA,40,143,5282,132.1,78,Rfam seed
,RF00057,RyhB RNA,sRNA,26,71,1702,65.5,75,Rfam seed
,RF00058,HgcF RNA (Pab35),snoRNA,4,174,675,168.8,87,Rfam seed
,RF00059,TPP riboswitch (THI element),Riboswitch,115,211,12198,106.1,54,Rfam seed
,RF00060,HgcE RNA (Pab105),snoRNA,4,135,520,130.0,78,Rfam seed
